"","Age","Ethnicity"
"374",20,"Filipino"
"375",36,"Asian Indian"
"376",49,"Vietnamese"
"377",28,"Asian Indian"
"378",49,"Chinese"
"379",40,"Asian Indian"
"380",18,"Filipino"
"381",66,"Filipino"
"382",48,"Chinese"
"383",20,"Filipino"
"384",65,"Asian Indian"
"385",40,"Chinese"
"386",37,"Chinese"
"387",18,"Chinese"
"388",47,"Chinese"
"389",32,"Asian Indian"
"390",60,"Korean"
"391",32,"Korean"
"392",20,"Chinese"
"393",49,"Chinese"
"394",77,"Korean"
"395",29,"Vietnamese"
"396",55,"Chinese"
"397",75,"Chinese"
"398",65,"Korean"
"399",35,"Filipino"
"400",30,"Asian Indian"
"401",58,"Chinese"
"402",43,"Chinese"
"403",24,"Asian Indian"
"404",46,"Filipino"
"405",79,"Asian Indian"
"406",33,"Asian Indian"
"407",33,"Vietnamese"
"408",33,"Asian Indian"
"409",49,"Filipino"
"410",80,"Korean"
"411",38,"Asian Indian"
"412",33,"Korean"
"413",62,"Vietnamese"
"414",64,"Chinese"
"415",55,"Korean"
"416",21,"Korean"
"417",53,"Chinese"
"418",19,"Chinese"
"419",70,"Chinese"
"420",18,"Vietnamese"
"421",37,"Chinese"
"422",34,"Korean"
"423",75,"Chinese"
"424",29,"Asian Indian"
"425",40,"Chinese"
"426",70,"Asian Indian"
"427",55,"Korean"
"428",88,"Korean"
"429",43,"Filipino"
"430",32,"Asian Indian"
"431",37,"Asian Indian"
"432",40,"Filipino"
"433",33,"Chinese"
"434",37,"Korean"
"435",53,"Vietnamese"
"436",80,"Asian Indian"
"437",30,"Vietnamese"
"438",32,"Vietnamese"
"439",26,"Korean"
"440",55,"Korean"
"441",40,"Chinese"
"442",19,"Filipino"
"443",89,"Chinese"
"444",20,"Korean"
"445",26,"Asian Indian"
"446",44,"Korean"
"447",35,"Filipino"
"448",40,"Asian Indian"
"449",33,"Asian Indian"
"450",71,"Filipino"
"451",23,"Vietnamese"
"452",32,"Asian Indian"
"453",61,"Chinese"
"454",50,"Filipino"
"455",63,"Vietnamese"
"456",31,"Asian Indian"
"457",25,"Vietnamese"
"458",47,"Chinese"
"459",31,"Asian Indian"
"460",19,"Filipino"
"461",18,"Vietnamese"
"462",28,"Chinese"
"463",22,"Chinese"
"464",78,"Korean"
"465",21,"Vietnamese"
"466",33,"Vietnamese"
"467",51,"Chinese"
"468",53,"Korean"
"469",43,"Filipino"
"470",47,"Vietnamese"
"471",47,"Korean"
"472",40,"Vietnamese"
"473",49,"Vietnamese"
"474",27,"Vietnamese"
"475",65,"Filipino"
"476",76,"Vietnamese"
"477",35,"Asian Indian"
"478",39,"Asian Indian"
"479",20,"Filipino"
"480",63,"Vietnamese"
"481",24,"Asian Indian"
"482",29,"Asian Indian"
"483",49,"Korean"
"484",43,"Asian Indian"
"485",55,"Vietnamese"
"486",62,"Korean"
"487",21,"Filipino"
"488",43,"Filipino"
"489",55,"Asian Indian"
"490",48,"Vietnamese"
"491",33,"Asian Indian"
"492",29,"Vietnamese"
"493",43,"Chinese"
"494",24,"Asian Indian"
"495",46,"Filipino"
"496",39,"Asian Indian"
"497",33,"Asian Indian"
"498",78,"Asian Indian"
"499",33,"Vietnamese"
"500",52,"Vietnamese"
"501",69,"Vietnamese"
"502",30,"Asian Indian"
"503",56,"Chinese"
"504",40,"Asian Indian"
"505",28,"Asian Indian"
"506",27,"Asian Indian"
"507",61,"Asian Indian"
"508",30,"Filipino"
"509",62,"Filipino"
"510",56,"Asian Indian"
"511",60,"Chinese"
"512",49,"Vietnamese"
"513",34,"Asian Indian"
"514",24,"Asian Indian"
"515",35,"Filipino"
"516",21,"Chinese"
"517",70,"Korean"
"518",46,"Korean"
"519",32,"Chinese"
"520",50,"Korean"
"521",47,"Vietnamese"
"522",43,"Chinese"
"523",71,"Korean"
"524",49,"Vietnamese"
"525",18,"Vietnamese"
"526",60,"Chinese"
"527",81,"Chinese"
"528",55,"Chinese"
"529",46,"Asian Indian"
"530",27,"Asian Indian"
"531",34,"Asian Indian"
"532",62,"Chinese"
"533",25,"Korean"
"534",25,"Chinese"
"535",32,"Asian Indian"
"536",50,"Vietnamese"
"537",73,"Vietnamese"
"538",21,"Korean"
"539",80,"Chinese"
"540",64,"Chinese"
"541",37,"Asian Indian"
"542",35,"Asian Indian"
"543",63,"Asian Indian"
"544",39,"Filipino"
"545",35,"Vietnamese"
"546",61,"Filipino"
"547",43,"Korean"
"548",56,"Vietnamese"
"549",29,"Asian Indian"
"550",47,"Chinese"
"551",33,"Chinese"
"552",46,"Korean"
"553",27,"Chinese"
"554",41,"Asian Indian"
"555",32,"Vietnamese"
"556",37,"Vietnamese"
"557",21,"Asian Indian"
"558",47,"Filipino"
"559",44,"Vietnamese"
"560",38,"Chinese"
"561",64,"Chinese"
"562",48,"Korean"
"563",52,"Filipino"
"564",60,"Asian Indian"
"565",62,"Filipino"
"566",52,"Chinese"
"567",22,"Chinese"
"568",34,"Asian Indian"
"569",41,"Vietnamese"
"570",33,"Asian Indian"
"571",43,"Korean"
"572",19,"Vietnamese"
"573",41,"Korean"
"574",36,"Korean"
"575",25,"Chinese"
"576",74,"Asian Indian"
"577",57,"Vietnamese"
"578",44,"Filipino"
"579",68,"Asian Indian"
"580",30,"Asian Indian"
"581",20,"Vietnamese"
"582",38,"Asian Indian"
"583",25,"Asian Indian"
"584",38,"Korean"
"585",44,"Korean"
"586",41,"Chinese"
"587",22,"Chinese"
"588",75,"Chinese"
"589",35,"Asian Indian"
"590",42,"Chinese"
"591",41,"Vietnamese"
"592",21,"Korean"
"593",58,"Chinese"
"594",46,"Korean"
"595",20,"Chinese"
"596",27,"Asian Indian"
"597",33,"Asian Indian"
"598",82,"Chinese"
"599",56,"Chinese"
"600",37,"Korean"
"601",28,"Asian Indian"
"602",30,"Asian Indian"
"603",29,"Asian Indian"
"604",21,"Vietnamese"
"605",48,"Asian Indian"
"606",44,"Chinese"
"607",30,"Filipino"
"608",48,"Chinese"
"609",46,"Filipino"
"610",27,"Asian Indian"
"611",21,"Filipino"
"612",27,"Asian Indian"
"613",47,"Vietnamese"
"614",23,"Korean"
"615",30,"Asian Indian"
"616",20,"Vietnamese"
"617",80,"Chinese"
"618",24,"Asian Indian"
"619",24,"Korean"
"620",45,"Korean"
"621",41,"Asian Indian"
"622",56,"Vietnamese"
"623",50,"Korean"
"624",66,"Chinese"
"625",28,"Asian Indian"
"626",60,"Chinese"
"627",41,"Asian Indian"
"628",37,"Korean"
"629",25,"Filipino"
"630",22,"Chinese"
"631",32,"Filipino"
"632",33,"Asian Indian"
"633",28,"Chinese"
"634",60,"Chinese"
"635",73,"Chinese"
"636",18,"Filipino"
"637",20,"Vietnamese"
"638",21,"Filipino"
"639",42,"Korean"
"640",32,"Vietnamese"
"641",57,"Chinese"
"642",31,"Asian Indian"
"643",24,"Asian Indian"
"644",33,"Korean"
"645",63,"Asian Indian"
"646",50,"Vietnamese"
"647",52,"Vietnamese"
"648",35,"Korean"
"649",61,"Vietnamese"
"650",22,"Chinese"
"651",71,"Chinese"
"652",43,"Vietnamese"
"653",24,"Chinese"
"654",58,"Vietnamese"
"655",63,"Korean"
"656",23,"Chinese"
"657",32,"Asian Indian"
"658",39,"Chinese"
"659",56,"Chinese"
"660",33,"Korean"
"661",78,"Chinese"
